river,when.erected,purpose,length,lanes,material,span,type
A,1819,HIGHWAY,1037,2,WOOD,SHORT,WOOD
A,1837,HIGHWAY,1000,2,WOOD,SHORT,WOOD
A,1840,HIGHWAY,990,2,WOOD,MEDIUM,WOOD
A,1844,AQUEDUCT,1000,1,IRON,SHORT,SUSPEN
M,1846,HIGHWAY,1500,2,IRON,SHORT,SUSPEN
A,1851,HIGHWAY,1000,2,WOOD,MEDIUM,WOOD
M,1856,HIGHWAY,1200,2,WOOD,MEDIUM,WOOD
A,1859,HIGHWAY,1030,2,IRON,MEDIUM,SUSPEN
M,1863,RR,1000,2,IRON,MEDIUM,SIMPLE-T
A,1864,RR,1200,2,IRON,SHORT,SIMPLE-T
A,1866,HIGHWAY,1000,2,WOOD,MEDIUM,WOOD
A,1870,HIGHWAY,1000,2,WOOD,MEDIUM,WOOD
A,1876,HIGHWAY,1200,4,WOOD,SHORT,WOOD
M,1883,RR,1150,2,STEEL,MEDIUM,SIMPLE-T
A,1884,HIGHWAY,1080,2,STEEL,MEDIUM,SUSPEN
M,1884,HIGHWAY,1000,2,STEEL,MEDIUM,ARCH
M,1887,RR,1161,2,STEEL,MEDIUM,SIMPLE-T
O,1888,RR,4558,2,STEEL,LONG,SIMPLE-T
A,1890,HIGHWAY,1000,2,STEEL,MEDIUM,SIMPLE-T
M,1891,RR,1350,2,STEEL,MEDIUM,SIMPLE-T
A,1892,AQUEDUCT,1092,1,WOOD,SHORT,WOOD
M,1895,HIGHWAY,2367,2,STEEL,LONG,SIMPLE-T
M,1896,HIGHWAY,1040,2,STEEL,LONG,ARCH
A,1897,RR,4000,2,STEEL,LONG,SIMPLE-T
M,1898,RR,2000,2,STEEL,MEDIUM,SIMPLE-T
A,1900,HIGHWAY,1200,2,STEEL,MEDIUM,SIMPLE-T
A,1900,HIGHWAY,2000,2,STEEL,MEDIUM,SIMPLE-T
A,1902,HIGHWAY,1850,2,STEEL,MEDIUM,CANTILEV
M,1903,RR,1300,2,STEEL,MEDIUM,SIMPLE-T
A,1903,RR,3000,2,STEEL,MEDIUM,SIMPLE-T
M,1903,RR,1417,2,STEEL,MEDIUM,SIMPLE-T
M,1904,RR,1200,2,STEEL,MEDIUM,SIMPLE-T
A,1904,RR,965,4,STEEL,MEDIUM,SIMPLE-T
A,1909,HIGHWAY,1730,2,STEEL,LONG,SIMPLE-T
O,1910,RR,1620,2,STEEL,LONG,CANTILEV
O,1911,HIGHWAY,1652,2,STEEL,LONG,CANTILEV
O,1915,RR,2822,2,STEEL,LONG,SIMPLE-T
A,1915,HIGHWAY,1000,4,STEEL,LONG,SIMPLE-T
A,1918,RR,2300,2,STEEL,LONG,CONT-T
A,1920,RR,2122,2,STEEL,MEDIUM,SIMPLE-T
A,1923,HIGHWAY,885,4,STEEL,MEDIUM,ARCH
A,1924,HIGHWAY,2365,4,STEEL,MEDIUM,ARCH
A,1926,HIGHWAY,860,4,STEEL,MEDIUM,SUSPEN
A,1926,HIGHWAY,884,4,STEEL,MEDIUM,SUSPEN
O,1927,HIGHWAY,1770,2,STEEL,LONG,CANTILEV
M,1927,HIGHWAY,2663,4,STEEL,MEDIUM,CANTILEV
M,1927,HIGHWAY,1330,4,STEEL,LONG,CANTILEV
A,1928,HIGHWAY,2678,4,STEEL,MEDIUM,ARCH
M,1928,HIGHWAY,2220,2,STEEL,MEDIUM,CANTILEV
A,1928,HIGHWAY,860,4,STEEL,MEDIUM,SUSPEN
M,1928,HIGHWAY,2250,2,STEEL,MEDIUM,SIMPLE-T
O,1931,HIGHWAY,1365,4,STEEL,LONG,ARCH
O,1931,HIGHWAY,1450,4,STEEL,LONG,ARCH
M,1931,HIGHWAY,1500,4,STEEL,LONG,SUSPEN
M,1937,HIGHWAY,1690,4,STEEL,LONG,CONT-T
A,1939,HIGHWAY,1800,4,STEEL,MEDIUM,CANTILEV
A,1945,HIGHWAY,1060,4,STEEL,MEDIUM,CONT-T
A,1945,RR,840,2,STEEL,MEDIUM,SIMPLE-T
A,1945,HIGHWAY,1710,2,STEEL,MEDIUM,CONT-T
O,1945,HIGHWAY,2160,2,STEEL,LONG,CANTILEV
M,1950,HIGHWAY,1320,2,STEEL,MEDIUM,SIMPLE-T
M,1951,HIGHWAY,900,4,STEEL,MEDIUM,CONT-T
M,1951,HIGHWAY,2423,4,STEEL,LONG,CONT-T
M,1951,HIGHWAY,1031,4,STEEL,LONG,CANTILEV
A,1955,HIGHWAY,2300,4,STEEL,LONG,CONT-T
O,1959,HIGHWAY,1700,2,STEEL,LONG,CONT-T
M,1959,HIGHWAY,1000,6,STEEL,LONG,ARCH
A,1961,HIGHWAY,980,4,STEEL,MEDIUM,CONT-T
M,1962,HIGHWAY,2213,4,STEEL,LONG,CONT-T
A,1969,HIGHWAY,870,6,STEEL,MEDIUM,ARCH
O,1975,HIGHWAY,3756,6,STEEL,LONG,ARCH
M,1978,HIGHWAY,950,6,STEEL,LONG,ARCH
