year,numCandidates,africanAmerican,female,hs_pct,incomeQuartile,poverty,unemp,voter_turnout
2002,3,0,0,0.242246553,second,0.389999986,0.159999996,55.48229965
2006,1,0,0,0.242246553,second,0.389999986,0.159999996,40.37600503
1990,3,0,0,0.245772272,fourth,0.159999996,0.039999999,82.74975439
1998,2,0,0,0.245772272,fourth,0.159999996,0.039999999,61.23397952
2002,3,0,1,0.245772272,fourth,0.159999996,0.039999999,46.56804803
2010,2,1,0,0.245772272,fourth,0.159999996,0.039999999,27.30944526
1988,2,0,0,0.41438356,fourth,0.129999995,0.07,80.16789902
2004,2,0,0,0.41438356,fourth,0.129999995,0.07,60.49188274
2008,2,0,0,0.41438356,fourth,0.129999995,0.07,54.27263738
1990,4,0,0,0.321507752,third,0.25999999,0.090000004,75.397995
1994,2,0,0,0.321507752,third,0.25999999,0.090000004,67.9316864
1998,2,0,0,0.321507752,third,0.25999999,0.090000004,58.80551147
2010,2,0,0,0.321507752,third,0.25999999,0.090000004,35.34609604
1990,4,0,0,0.24409245,third,0.289999992,0.109999999,57.09790627
1994,1,0,0,0.24409245,third,0.289999992,0.109999999,43.45945092
1998,2,1,1,0.24409245,third,0.289999992,0.109999999,29.62428207
2002,4,1,1,0.24409245,third,0.289999992,0.109999999,42.19839552
2006,6,1,1,0.24409245,third,0.289999992,0.109999999,41.9672509
2010,3,1,1,0.24409245,third,0.289999992,0.109999999,37.97272728
1992,5,1,1,0.272577465,second,0.430000007,0.090000004,72.86799385
2000,3,1,1,0.272577465,second,0.430000007,0.090000004,22.88971168
2004,6,1,1,0.272577465,second,0.430000007,0.090000004,59.95564674
2008,2,0,0,0.272577465,second,0.430000007,0.090000004,53.88504161
1988,2,0,0,0.368243247,fourth,0.159999996,0.090000004,68.95161438
1992,2,0,0,0.368243247,fourth,0.159999996,0.090000004,65.40642548
2000,4,0,1,0.368243247,fourth,0.159999996,0.090000004,60.12269974
1990,2,0,0,0.267599285,second,0.370000005,0.159999996,77.125194
1994,2,0,1,0.267599285,second,0.370000005,0.159999996,74.00588076
1998,2,0,1,0.267599285,second,0.370000005,0.159999996,65.11318528
2002,2,0,1,0.267599285,second,0.370000005,0.159999996,65.13090253
2006,2,0,1,0.267599285,second,0.370000005,0.159999996,54.43546425
2010,2,0,0,0.267599285,second,0.370000005,0.159999996,50.81019794
1990,2,0,0,0.222924188,third,0.25999999,0.07,62.36468867
1994,2,0,0,0.222924188,third,0.25999999,0.07,53.4698835
1998,2,0,1,0.222924188,third,0.25999999,0.07,71.72051209
2006,2,0,1,0.222924188,third,0.25999999,0.07,71.72051209
1994,2,0,1,0.200000003,second,0.119999997,0.039999999,69.89280918
1994,2,0,1,0.363184094,third,0.209999993,0.090000004,80.06864415
