Title,Directors,vote_date,day_of_week,weekend,duration,ratings,movie_period,num_votes,imdb_rating
Zootopia,"Jared Bush, Byron Howard",2017-08-18,Friday,Workday,Medium,Med,Modern,311815,8.1
Snowden,Oliver Stone,2017-08-18,Friday,Workday,Long,Med,Modern,88936,7.3
The Nice Guys,Shane Black,2017-08-04,Friday,Workday,Medium,Med,Modern,188028,7.4
Love.net,Ilian Djevelekov,2017-07-31,Monday,Workday,Medium,Low,Modern,3154,7.6
Deadpool,Tim Miller,2017-07-30,Sunday,Weekend,Medium,Med,Modern,657687,8
A Bittersweet Life,Kim Jee-woon,2017-07-28,Friday,Workday,Medium,Med,Modern,27948,7.7
The Handmaiden,Chan-wook Park,2017-07-28,Friday,Workday,Long,High,Modern,40137,8.1
The Imitation Game,Morten Tyldum,2017-07-28,Friday,Workday,Medium,Med,Modern,542501,8.1
Finding Nemo,"Andrew Stanton, Lee Unkrich",2017-07-28,Friday,Workday,Medium,Low,Modern,765625,8.1
Spirited Away,Hayao Miyazaki,2017-06-30,Friday,Workday,Long,Med,Modern,470922,8.6
Howl's Moving Castle,Hayao Miyazaki,2017-06-30,Friday,Workday,Medium,Med,Modern,239719,8.2
A Cure for Wellness,Gore Verbinski,2017-06-26,Monday,Workday,Long,High,Modern,40907,6.4
The Lion King,"Roger Allers, Rob Minkoff",2017-06-26,Monday,Workday,Short,High,Old,715979,8.5
Toy Story,John Lasseter,2017-06-26,Monday,Workday,Short,Low,Old,688048,8.3
A Silent Voice,Naoko Yamada,2017-06-26,Monday,Workday,Long,Low,Modern,6698,8.3
Your Name,Makoto Shinkai,2017-06-25,Sunday,Weekend,Medium,High,Modern,47590,8.5
The Legend of 1900,Giuseppe Tornatore,2017-06-20,Tuesday,Workday,Long,High,Old,44760,8.1
Guardians of the Galaxy Vol. 2,James Gunn,2017-06-08,Thursday,Workday,Long,High,Modern,227165,7.9
Guardians of the Galaxy,James Gunn,2017-06-08,Thursday,Workday,Long,Med,Modern,782283,8.1
Almost Famous,Cameron Crowe,2017-05-31,Wednesday,Workday,Long,Med,Old,218954,7.9
Wild Tales,Damián Szifron,2017-05-31,Wednesday,Workday,Long,High,Modern,115473,8.1
Alien,Ridley Scott,2017-05-24,Wednesday,Workday,Medium,Med,Retro,627356,8.5
The Unknown Woman,Giuseppe Tornatore,2017-05-22,Monday,Workday,Medium,Med,Modern,10609,7.5
Rogue One,Gareth Edwards,2017-05-22,Monday,Workday,Long,Med,Modern,354303,7.9
The Accountant,Gavin O'Connor,2017-05-22,Monday,Workday,Long,Med,Modern,180642,7.4
Shooter,Antoine Fuqua,2017-05-22,Monday,Workday,Long,Med,Modern,271133,7.2
The Invisible Guest,Oriol Paulo,2017-05-20,Saturday,Weekend,Medium,High,Modern,23849,8
The Meaning of Life,"Terry Jones, Terry Gilliam",2017-05-17,Wednesday,Workday,Medium,High,Old,93543,7.6
Einstein's God Model,Philip T. Johnson,2017-03-27,Monday,Workday,Short,Med,Modern,355,4.9
Fantastic Beasts and Where to Find Them,David Yates,2017-03-27,Monday,Workday,Long,Med,Modern,256702,7.4
La La Land,Damien Chazelle,2017-03-27,Monday,Workday,Long,High,Modern,295528,8.2
Tetro,Francis Ford Coppola,2017-01-22,Sunday,Weekend,Long,Med,Modern,11034,6.9
Sleepers,Barry Levinson,2017-01-22,Sunday,Weekend,Long,High,Old,162658,7.6
The Box,Richard Kelly,2017-01-22,Sunday,Weekend,Medium,Med,Modern,79784,5.6
The Fugitive,Andrew Davis,2017-01-22,Sunday,Weekend,Long,High,Old,225632,7.8
Remember,Atom Egoyan,2017-01-16,Monday,Workday,Medium,High,Modern,13832,7.4
Don't Breathe,Fede Alvarez,2017-01-15,Sunday,Weekend,Short,Med,Modern,133937,7.2
Green Room,Jeremy Saulnier,2017-01-15,Sunday,Weekend,Medium,Med,Modern,67475,7
Hacksaw Ridge,Mel Gibson,2017-01-02,Monday,Workday,Long,Med,Modern,250869,8.2
Passengers,Morten Tyldum,2017-01-02,Monday,Workday,Medium,Med,Modern,225780,7
Room,Lenny Abrahamson,2017-01-02,Monday,Workday,Medium,Med,Modern,236206,8.2
Django Unchained,Quentin Tarantino,2017-01-02,Monday,Workday,Long,High,Modern,1060830,8.4
Sully,Clint Eastwood,2017-01-02,Monday,Workday,Medium,Med,Modern,151188,7.5
Independence Day: Resurgence,Roland Emmerich,2017-01-02,Monday,Workday,Medium,Low,Modern,135048,5.3
Deepwater Horizon,Peter Berg,2017-01-02,Monday,Workday,Medium,Med,Modern,100700,7.2
The Legend of Tarzan,David Yates,2017-01-02,Monday,Workday,Medium,Low,Modern,126292,6.3
Now You See Me 2,Jon M. Chu,2017-01-02,Monday,Workday,Long,Med,Modern,167723,6.5
Allied,Robert Zemeckis,2016-12-25,Sunday,Weekend,Long,Med,Modern,89082,7.1
Ghost in the Shell,Mamoru Oshii,2016-12-11,Sunday,Weekend,Short,Med,Old,100262,8
Morgan,Luke Scott,2016-12-11,Sunday,Weekend,Medium,Low,Modern,26020,5.8
10 Cloverfield Lane,Dan Trachtenberg,2016-11-28,Monday,Workday,Medium,Med,Modern,204000,7.2
Margin Call,J.C. Chandor,2016-11-25,Friday,Workday,Medium,Med,Modern,98968,7.1
The One I Love,Charlie McDowell,2016-11-25,Friday,Workday,Medium,Med,Modern,26686,7.1
Who Am I,Baran bo Odar,2016-11-25,Friday,Workday,Medium,Med,Modern,31244,7.6
Arrival,Denis Villeneuve,2016-11-20,Sunday,Weekend,Medium,High,Modern,377395,8
Steamboy,Katsuhiro Ohtomo,2016-11-15,Tuesday,Workday,Long,Low,Modern,14499,6.9
Before I Go to Sleep,Rowan Joffe,2016-10-23,Sunday,Weekend,Medium,Med,Modern,55835,6.3
The Age of Adaline,Lee Toland Krieger,2016-10-03,Monday,Workday,Medium,Med,Modern,116491,7.2
Batman v Superman: Dawn of Justice,Zack Snyder,2016-07-26,Tuesday,Workday,Long,Low,Modern,492014,6.6
Sicario,Denis Villeneuve,2016-07-20,Wednesday,Workday,Long,Med,Modern,252658,7.6
Awake,Joby Harold,2016-07-17,Sunday,Weekend,Short,Med,Modern,65935,6.5
The Man Who Knew Infinity,Matthew Brown,2016-05-14,Saturday,Weekend,Medium,Med,Modern,32560,7.2
Eye in the Sky,Gavin Hood,2016-04-23,Saturday,Weekend,Medium,Med,Modern,60679,7.3
Son of Saul,Nemes László,2016-03-28,Monday,Workday,Medium,High,Modern,31767,7.5
Dawn of the Planet of the Apes,Matt Reeves,2016-03-27,Sunday,Weekend,Long,Med,Modern,351829,7.6
Spotlight,Tom McCarthy,2016-01-21,Thursday,Workday,Long,Med,Modern,281529,8.1
The Big Short,Adam McKay,2016-01-19,Tuesday,Workday,Long,Med,Modern,256144,7.8
