pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome
FC,line_drive,89.71,143.69,112.9,20,home_run
CH,fly_ball,3.3500000000000085,83.86000000000001,83.9,55,field_out
CH,fly_ball,-65.6,125.81000000000002,102.4,38,field_out
CU,ground_ball,39.239999999999995,50.41,82.5,8,field_out
FC,fly_ball,-37.629999999999995,137.96,101.1,23,field_out
KC,popup,-51.89,41.57000000000002,84,65,field_out
SL,ground_ball,-46.870000000000005,61.140000000000015,68.4,-14,double
CH,line_drive,94.92999999999999,98.71000000000001,106.7,9,triple
CU,fly_ball,-87.85,119.67000000000002,104,33,field_out
FF,ground_ball,43.64,47.48000000000002,101.8,5,single
FF,ground_ball,25.239999999999995,46.60000000000002,90,7,field_out
FF,ground_ball,53.719999999999985,82.96000000000001,109,6,single
SI,ground_ball,20.440000000000012,39.20000000000002,60.6,-42,field_out
FF,line_drive,15.570000000000007,64.83000000000001,88,12,field_out
FF,line_drive,36.510000000000005,61.32000000000002,98.6,12,field_out
FC,ground_ball,-13.210000000000008,111.56000000000002,99.6,10,single
SI,fly_ball,5.190000000000012,148.43,99.7,36,field_out
SI,ground_ball,22.83,21.610000000000014,72.7,-40,force_out
FC,line_drive,73.27,68.89000000000001,100.3,10,triple
CH,line_drive,91.45,96.04,101.8,22,triple
FF,ground_ball,35.33999999999999,33.16,94.5,-13,field_out
CU,line_drive,52.42999999999999,75.67000000000002,109.1,15,single
CH,ground_ball,3.7900000000000063,21.080000000000013,64.2,-13,field_out
FF,fly_ball,82.10000000000001,160.65,116.1,26,home_run
CU,line_drive,-2.8100000000000023,130.45000000000002,103.5,19,field_out
SI,ground_ball,5.489999999999995,54.80000000000001,92.3,-8,field_out
SI,ground_ball,27.10000000000001,34.54000000000002,88.3,-26,field_out
SL,fly_ball,16.36999999999999,154.25,105.2,38,field_out
SI,ground_ball,-0.6899999999999977,7.060000000000002,NA,NA,field_out
CH,fly_ball,42.790000000000006,138.92000000000002,93.5,32,field_out
FF,line_drive,-36.120000000000005,127.41000000000001,108.7,13,single
FF,ground_ball,-25.189999999999998,45.84,68.4,-2,single
FF,fly_ball,-49.44,77.9,93,55,field_out
SL,popup,-45.379999999999995,54.91,79.4,58,field_out
SL,ground_ball,35.230000000000004,92.41000000000001,105.4,2,single
FF,ground_ball,44.58,50.53,81.9,-1,single
FC,line_drive,38.719999999999985,79.05000000000001,76.8,16,single
SI,ground_ball,28.38000000000001,41.33000000000001,80.1,-8,field_out
SI,ground_ball,32.010000000000005,26.860000000000014,101.6,-19,field_out
SL,ground_ball,1.3900000000000006,55.59,69.9,-7,field_out
SI,ground_ball,-11.820000000000007,30.870000000000005,79.9,-24,field_out
CH,ground_ball,25.820000000000007,34.10000000000002,61.8,-35,field_out
KC,ground_ball,29.10000000000001,51.55000000000001,95.8,-14,field_out
CH,line_drive,44.959999999999994,96.91000000000001,95.2,10,single
SL,fly_ball,46.249999999999986,98.95000000000002,94,49,field_out
CU,ground_ball,20.64,40.630000000000024,64,-38,field_out
CU,ground_ball,22.290000000000006,21.450000000000017,109.6,-16,field_out
