City.Code,City,Metro,County,State,Population.Rank,January.2017
6181,New York,New York,Queens,NY,1,2322
12447,Los Angeles,Los Angeles,Los Angeles,CA,2,2753
17426,Chicago,Chicago,Cook,IL,3,1632
39051,Houston,Houston,Harris,TX,4,1430
13271,Philadelphia,Philadelphia,Philadelphia,PA,5,1212
40326,Phoenix,Phoenix,Maricopa,AZ,6,1247
18959,Las Vegas,Las Vegas,Clark,NV,7,1239
6915,San Antonio,San Antonio,Bexar,TX,8,1250
54296,San Diego,San Diego,San Diego,CA,9,2469
38128,Dallas,Dallas-Fort Worth,Dallas,TX,10,1391
33839,San Jose,San Jose,Santa Clara,CA,11,3286
25290,Jacksonville,Jacksonville,Duval,FL,12,1151
20330,San Francisco,San Francisco,San Francisco,CA,13,4382
32149,Indianapolis,Indianapolis,Marion,IN,14,1078
10221,Austin,Austin,Travis,TX,15,1780
18172,Fort Worth,Dallas-Fort Worth,Tarrant,TX,16,1375
17762,Detroit,Detroit,Wayne,MI,17,750
10920,Columbus,Columbus,Franklin,OH,18,1116
32811,Memphis,Memphis,Shelby,TN,19,843
24043,Charlotte,Charlotte,Mecklenburg,NC,20,1294
17933,El Paso,El Paso,El Paso,TX,21,993
44269,Boston,Boston,Suffolk,MA,22,2524
16037,Seattle,Seattle,King,WA,23,2481
3523,Baltimore,Baltimore,Baltimore City,MD,24,1306
11093,Denver,Denver,Denver,CO,25,1974
41568,Washington,Washington,District of Columbia,DC,26,2569
6118,Nashville,Nashville,Davidson,TN,27,1535
5976,Milwaukee,Milwaukee,Milwaukee,WI,28,1006
7481,Tucson,Tucson,Pima,AZ,29,1056
13373,Portland,Portland,Multnomah,OR,30,1859
33225,Oklahoma City,Oklahoma City,Oklahoma,OK,31,1073
40152,Omaha,Omaha,Douglas,NE,32,1300
23429,Albuquerque,Albuquerque,Bernalillo,NM,33,1197
18203,Fresno,Fresno,Fresno,CA,34,1241
20288,Sacramento,Sacramento,Sacramento,CA,35,1504
19331,Mesa,Phoenix,Maricopa,AZ,36,1280
46298,Long Beach,Los Angeles,Los Angeles,CA,37,2375
18795,Kansas City,Kansas City,Jackson,MO,38,1021
41515,Virginia Beach,Virginia Beach,Virginia Beach City,VA,39,1534
4172,Colorado Springs,Colorado Springs,El Paso,CO,40,1392
37211,Atlanta,Atlanta,Fulton,GA,41,1486
12700,Miami,Miami-Fort Lauderdale,Miami-Dade,FL,42,2088
13072,Oakland,San Francisco,Alameda,CA,43,2882
20859,Tulsa,Tulsa,Tulsa,OK,44,965
24115,Cleveland,Cleveland,Cuyahoga,OH,45,843
18615,Honolulu,Urban Honolulu,Honolulu,HI,46,2439
5983,Minneapolis,Minneapolis-St Paul,Hennepin,MN,47,1561
44055,Baton Rouge,Baton Rouge,East Baton Rouge,LA,48,1306
19594,New Orleans,New Orleans,Orleans,LA,49,1404
50763,Arlington,Dallas-Fort Worth,Tarrant,TX,50,1447
54047,Raleigh,Raleigh,Wake,NC,51,1384
7929,Wichita,Wichita,Sedgwick,KS,52,897
41176,Tampa,Tampa,Hillsborough,FL,53,1302
16764,Anaheim,Los Angeles,Orange,CA,54,2608
47568,Santa Ana,Los Angeles,Orange,CA,55,2473
16846,Aurora,Denver,Arapahoe,CO,56,1779
